image,taxonomy,tp_px,fp_px,fn_px,iou,dice_f1,precision,recall,split
GPAB2751_jpg.rf.5c54bc040bd61f476b2936c0f427baaf.jpg,lcc,99484,93814,37898,0.4303015623107666,0.6016934801016088,0.5146664735279206,0.7241414450219097,train
GPAB2753_jpg.rf.ecc3e09a60fddd4051f8cc1817f5abe0.jpg,lcc,61525,140539,134523,0.18279077920418793,0.3090838758942207,0.30448273814237076,0.3138262058271444,train
GPAB2755_jpg.rf.989ddbf0acb4906444222985aa1c08ad.jpg,lcc,186638,153309,178247,0.3601701293338016,0.5295957050758194,0.5490208767837339,0.5114981432506132,train
GPAB2756_jpg.rf.e3eab669406113c45048b693e012a15e.jpg,lcc,198563,188115,62127,0.44242599792783055,0.6134470656566281,0.513509948846327,0.7616824580919866,train
GPAB2864_jpg.rf.bba294c9d2767e1fca67088d5f57ed2c.jpg,lcc,217476,87835,167462,0.4600008883756052,0.6301378198302352,0.712309743179905,0.5649637084413593,train
GPAB2865_jpg.rf.bc51b557fce1c755711f160a6fb06174.jpg,lcc,207887,153992,13155,0.5543150754331607,0.713259601215259,0.5744654981361174,0.9404864233946489,train
GPAB2869_jpg.rf.f5f4b6550e77b27a16ff75349110b44f.jpg,lcc,277078,132571,149149,0.49584644182692134,0.6629643631352019,0.6763790464519626,0.650071440805017,train
GPAB2870_jpg.rf.bf5e43594708726bc8b61ede51e9e0d6.jpg,lcc,93797,210157,61520,0.2566447955258103,0.40846036436004013,0.30858945761529705,0.6039068485742063,train
GPAB2871_jpg.rf.504bfd08c70eccfa9fd23ba467a0b88b.jpg,lcc,215710,68075,160419,0.48561021512638336,0.6537518525141155,0.7601176947336893,0.5735000491852529,train
GPAB2907_jpg.rf.bf31d322ee0d726153fd605a1778f741.jpg,lcc,165684,172673,242584,0.2851993575939725,0.44382119537920645,0.4896721510120967,0.4058216661604632,train
GPAB2908_jpg.rf.88dda92c5d3e1444f5a1b36c77499932.jpg,lcc,230644,52116,268444,0.41843673122836555,0.5899970326713121,0.8156882161550432,0.46213092681050233,train
GPAB2909_jpg.rf.f8bd8c4e84c1945b4c81d8aa05b48c12.jpg,lcc,403289,96414,32639,0.7575750175638969,0.862068486401156,0.807057392090902,0.9251275439980914,train
GPAB2911_jpg.rf.a892723d63b47464304a3bf61c90205b.jpg,lcc,199079,169650,17915,0.5148896659459348,0.6797718375409536,0.5399060014265219,0.9174401135515268,train
GPAB2912_jpg.rf.bf1be34d721f9328c589ea24f4d294f3.jpg,lcc,945118,49701,22098,0.9293954177184569,0.9634058515775712,0.9500401580589032,0.9771529834080495,train
GPAB2913_jpg.rf.a426d17e675cf5b48b74ca8af4351b03.jpg,lcc,221622,45551,5164,0.8137785170579098,0.897329535447274,0.829507472686237,0.9772296349862867,train
GPAB2915_jpg.rf.a6786972f25a53ecff6281be316a127d.jpg,lcc,232875,87117,322478,0.36246828645695517,0.5320759243498278,0.7277525688142203,0.4193278869475811,train
GPAB2916_jpg.rf.7f634b0de0ff892d3d6e051ea3b40642.jpg,lcc,218882,195841,11211,0.513887128052703,0.6788975459666013,0.5277787824644401,0.9512762230924018,train
GPAB2941_jpg.rf.18f7f408bdbb3d1b44d43910c2e6eba4.jpg,lcc,259189,119386,171042,0.4715811192157448,0.6409175995232479,0.6846437297761342,0.6024414791123838,train
GPAB2942_jpg.rf.1e3195c08fa8efff9464de31cf8e5d3c.jpg,lcc,230812,120728,44757,0.5824217695314373,0.7361144553817598,0.656573931842749,0.837583327587646,train
GPAB2943_jpg.rf.785d4f902aaf6a01200939a608fa2ac6.jpg,lcc,346824,146428,20454,0.6751410339766325,0.8060706773732467,0.7031375442978437,0.9443092153627497,train
GPAB2944_jpg.rf.4c5671d6eb3325a6fb91a55ecd6b13f6.jpg,lcc,214763,100385,3751,0.6734514689603919,0.8048652517885853,0.681467120210187,0.9828340518227665,train
GPAB2946_jpg.rf.4ae04bdc56ebbfb34e63f95e6dec2beb.jpg,lcc,4964,64330,681,0.07093962129331904,0.13248108461548727,0.07163679395041418,0.879362267493357,train
