method,model,model_share,class_name,value,value_type
em,1,0.1552916882160996,branching_acropora:bleached,0.11011594183105464,responsibility
em,1,0.1552916882160996,branching_acropora:healthy,0.18867549496514677,responsibility
em,1,0.1552916882160996,finger_acropora:bleached,0.22680199622482894,responsibility
em,1,0.1552916882160996,finger_acropora:healthy,0.12796945141896243,responsibility
em,1,0.1552916882160996,finger_porites:bleached,0.1605623023813008,responsibility
em,1,0.1552916882160996,finger_porites:healthy,0.15705059060184723,responsibility
em,1,0.1552916882160996,knob_porites:bleached,0.16684136666517657,responsibility
em,1,0.1552916882160996,knob_porites:healthy,0.1801976851512331,responsibility
em,1,0.1552916882160996,mounding_:bleached,0.13889151739092254,responsibility
em,1,0.1552916882160996,mounding_:healthy,0.1352316601135732,responsibility
em,1,0.1552916882160996,noncoral,0.15795644414960075,responsibility
em,1,0.1552916882160996,oddball:bleached,0.16987129019398242,responsibility
em,1,0.1552916882160996,oddball:healthy,0.15489709492634493,responsibility
em,1,0.1552916882160996,pocillopora_:bleached,0.14732234891496507,responsibility
em,1,0.1552916882160996,pocillopora_:healthy,0.12665739325707223,responsibility
em,1,0.1552916882160996,table_acropora:bleached,0.1280350696546688,responsibility
em,1,0.1552916882160996,table_acropora:healthy,0.1577573629718015,responsibility
em,2,0.16169883524420697,branching_acropora:bleached,0.15592909530650206,responsibility
em,2,0.16169883524420697,branching_acropora:healthy,0.14914297602565812,responsibility
em,2,0.16169883524420697,finger_acropora:bleached,0.17775925766751596,responsibility
em,2,0.16169883524420697,finger_acropora:healthy,0.17940837491229558,responsibility
em,2,0.16169883524420697,finger_porites:bleached,0.1540725851414414,responsibility
em,2,0.16169883524420697,finger_porites:healthy,0.17187731932471484,responsibility
em,2,0.16169883524420697,knob_porites:bleached,0.16492639675350762,responsibility
em,2,0.16169883524420697,knob_porites:healthy,0.17497431160232502,responsibility
em,2,0.16169883524420697,mounding_:bleached,0.17260541834506224,responsibility
em,2,0.16169883524420697,mounding_:healthy,0.1640403612952882,responsibility
em,2,0.16169883524420697,noncoral,0.15518224203111503,responsibility
em,2,0.16169883524420697,oddball:bleached,0.15164316034960498,responsibility
em,2,0.16169883524420697,oddball:healthy,0.1801182101409497,responsibility
em,2,0.16169883524420697,pocillopora_:bleached,0.15033222917918077,responsibility
em,2,0.16169883524420697,pocillopora_:healthy,0.14732881260050046,responsibility
em,2,0.16169883524420697,table_acropora:bleached,0.17570940117751682,responsibility
em,2,0.16169883524420697,table_acropora:healthy,0.1234001553897358,responsibility
em,3,0.1936523901813954,branching_acropora:bleached,0.1430501980089961,responsibility
em,3,0.1936523901813954,branching_acropora:healthy,0.22155104233612125,responsibility
em,3,0.1936523901813954,finger_acropora:bleached,0.18935583466488845,responsibility
em,3,0.1936523901813954,finger_acropora:healthy,0.17092318211347296,responsibility
em,3,0.1936523901813954,finger_porites:bleached,0.18959343652736638,responsibility
em,3,0.1936523901813954,finger_porites:healthy,0.1567923523110605,responsibility
em,3,0.1936523901813954,knob_porites:bleached,0.1657042379898107,responsibility
em,3,0.1936523901813954,knob_porites:healthy,0.16512718847747934,responsibility
em,3,0.1936523901813954,mounding_:bleached,0.24383501373209765,responsibility
em,3,0.1936523901813954,mounding_:healthy,0.2289777279948985,responsibility
em,3,0.1936523901813954,noncoral,0.2014541730437281,responsibility
em,3,0.1936523901813954,oddball:bleached,0.141008557457368,responsibility
em,3,0.1936523901813954,oddball:healthy,0.23464007707255433,responsibility
em,3,0.1936523901813954,pocillopora_:bleached,0.19027878683786215,responsibility
em,3,0.1936523901813954,pocillopora_:healthy,0.22090854435082202,responsibility
em,3,0.1936523901813954,table_acropora:bleached,0.1767307617137879,responsibility
em,3,0.1936523901813954,table_acropora:healthy,0.22732682825844716,responsibility
em,4,0.24003662803814402,branching_acropora:bleached,0.304986378939842,responsibility
em,4,0.24003662803814402,branching_acropora:healthy,0.21499439353009006,responsibility
em,4,0.24003662803814402,finger_acropora:bleached,0.17603412677864583,responsibility
em,4,0.24003662803814402,finger_acropora:healthy,0.2636711919280688,responsibility
em,4,0.24003662803814402,finger_porites:bleached,0.22516377260707676,responsibility
em,4,0.24003662803814402,finger_porites:healthy,0.3158626133584569,responsibility
em,4,0.24003662803814402,knob_porites:bleached,0.24271188539371272,responsibility
em,4,0.24003662803814402,knob_porites:healthy,0.1911994963436261,responsibility
em,4,0.24003662803814402,mounding_:bleached,0.2354124251639499,responsibility
em,4,0.24003662803814402,mounding_:healthy,0.2127218028789061,responsibility
em,4,0.24003662803814402,noncoral,0.24458718879559446,responsibility
em,4,0.24003662803814402,oddball:bleached,0.227914771883715,responsibility
em,4,0.24003662803814402,oddball:healthy,0.19606047537845317,responsibility
em,4,0.24003662803814402,pocillopora_:bleached,0.24173907474257172,responsibility
em,4,0.24003662803814402,pocillopora_:healthy,0.24423765539908482,responsibility
em,4,0.24003662803814402,table_acropora:bleached,0.2575763027950604,responsibility
em,4,0.24003662803814402,table_acropora:healthy,0.2515622760440216,responsibility
em,5,0.24932045832015248,branching_acropora:bleached,0.2859183859136053,responsibility
em,5,0.24932045832015248,branching_acropora:healthy,0.22563609314298366,responsibility
em,5,0.24932045832015248,finger_acropora:bleached,0.23004878466412076,responsibility
em,5,0.24932045832015248,finger_acropora:healthy,0.25802779962719957,responsibility
em,5,0.24932045832015248,finger_porites:bleached,0.27060790334281454,responsibility
em,5,0.24932045832015248,finger_porites:healthy,0.19841712440392034,responsibility
em,5,0.24932045832015248,knob_porites:bleached,0.2598161131977925,responsibility
em,5,0.24932045832015248,knob_porites:healthy,0.28850131842533655,responsibility
em,5,0.24932045832015248,mounding_:bleached,0.20925562536796782,responsibility
em,5,0.24932045832015248,mounding_:healthy,0.25902844771733397,responsibility
em,5,0.24932045832015248,noncoral,0.24081995197996306,responsibility
em,5,0.24932045832015248,oddball:bleached,0.30956222011532974,responsibility
em,5,0.24932045832015248,oddball:healthy,0.2342841424816979,responsibility
em,5,0.24932045832015248,pocillopora_:bleached,0.27032756032542044,responsibility
em,5,0.24932045832015248,pocillopora_:healthy,0.26086759439252066,responsibility
em,5,0.24932045832015248,table_acropora:bleached,0.2619484646589658,responsibility
em,5,0.24932045832015248,table_acropora:healthy,0.23995337733599373,responsibility
linear,1,0.1853857419321807,branching_acropora:bleached,0.16912992270424995,self_weight
linear,1,0.1853857419321807,branching_acropora:healthy,0.15708011078350279,self_weight
linear,1,0.1853857419321807,finger_acropora:bleached,0.21656823824517443,self_weight
linear,1,0.1853857419321807,finger_acropora:healthy,0.10802545067031503,self_weight
linear,1,0.1853857419321807,finger_porites:bleached,0.25054546820468143,self_weight
linear,1,0.1853857419321807,finger_porites:healthy,0.2374764593943069,self_weight
linear,1,0.1853857419321807,knob_porites:bleached,0.3331606499220043,self_weight
linear,1,0.1853857419321807,knob_porites:healthy,0.14309014865492387,self_weight
linear,1,0.1853857419321807,mounding_:bleached,0.21280398544500548,self_weight
linear,1,0.1853857419321807,mounding_:healthy,0.10947759524219595,self_weight
linear,1,0.1853857419321807,noncoral,0.1427976516202382,self_weight
linear,1,0.1853857419321807,oddball:bleached,0.2978020536733484,self_weight
linear,1,0.1853857419321807,oddball:healthy,0.24029628706488715,self_weight
linear,1,0.1853857419321807,pocillopora_:bleached,0.26733120196757465,self_weight
linear,1,0.1853857419321807,pocillopora_:healthy,0.11639528160427841,self_weight
linear,1,0.1853857419321807,table_acropora:bleached,0.12804637786608783,self_weight
linear,1,0.1853857419321807,table_acropora:healthy,0.17286718056151684,self_weight
linear,2,0.17640814076977226,branching_acropora:bleached,0.18367789425184683,self_weight
linear,2,0.17640814076977226,branching_acropora:healthy,0.16179335487552082,self_weight
linear,2,0.17640814076977226,finger_acropora:bleached,0.21281611887576826,self_weight
linear,2,0.17640814076977226,finger_acropora:healthy,0.18716575952292705,self_weight
linear,2,0.17640814076977226,finger_porites:bleached,0.1219298891731937,self_weight
linear,2,0.17640814076977226,finger_porites:healthy,0.20703065042715532,self_weight
linear,2,0.17640814076977226,knob_porites:bleached,0.15075414439553536,self_weight
linear,2,0.17640814076977226,knob_porites:healthy,0.22859208596149874,self_weight
linear,2,0.17640814076977226,mounding_:bleached,0.1537875512622626,self_weight
linear,2,0.17640814076977226,mounding_:healthy,0.21627664926400988,self_weight
linear,2,0.17640814076977226,noncoral,0.19864368791970424,self_weight
linear,2,0.17640814076977226,oddball:bleached,0.21119014577011694,self_weight
linear,2,0.17640814076977226,oddball:healthy,0.17768820956175188,self_weight
linear,2,0.17640814076977226,pocillopora_:bleached,0.11462103473397221,self_weight
linear,2,0.17640814076977226,pocillopora_:healthy,0.2294197454281982,self_weight
linear,2,0.17640814076977226,table_acropora:bleached,0.22554254322122944,self_weight
linear,2,0.17640814076977226,table_acropora:healthy,0.1620166694578533,self_weight
linear,3,0.1858943347139494,branching_acropora:bleached,0.16868329074864016,self_weight
linear,3,0.1858943347139494,branching_acropora:healthy,0.24436975766052968,self_weight
linear,3,0.1858943347139494,finger_acropora:bleached,0.13635402744880176,self_weight
linear,3,0.1858943347139494,finger_acropora:healthy,0.2335411177971249,self_weight
linear,3,0.1858943347139494,finger_porites:bleached,0.11046249301441967,self_weight
linear,3,0.1858943347139494,finger_porites:healthy,0.3020187293913319,self_weight
linear,3,0.1858943347139494,knob_porites:bleached,0.07509342464113965,self_weight
linear,3,0.1858943347139494,knob_porites:healthy,0.18668457255394363,self_weight
linear,3,0.1858943347139494,mounding_:bleached,0.25385192176994886,self_weight
linear,3,0.1858943347139494,mounding_:healthy,0.25696620506627105,self_weight
linear,3,0.1858943347139494,noncoral,0.16635922400207945,self_weight
linear,3,0.1858943347139494,oddball:bleached,0.09522731847134162,self_weight
linear,3,0.1858943347139494,oddball:healthy,0.2764394654823658,self_weight
linear,3,0.1858943347139494,pocillopora_:bleached,0.1902206471429369,self_weight
linear,3,0.1858943347139494,pocillopora_:healthy,0.11024042488493606,self_weight
linear,3,0.1858943347139494,table_acropora:bleached,0.2261685723284273,self_weight
linear,3,0.1858943347139494,table_acropora:healthy,0.27927412944950536,self_weight
linear,4,0.2222694882263937,branching_acropora:bleached,0.2464448097120851,self_weight
linear,4,0.2222694882263937,branching_acropora:healthy,0.23173984540171508,self_weight
linear,4,0.2222694882263937,finger_acropora:bleached,0.2073346909239887,self_weight
linear,4,0.2222694882263937,finger_acropora:healthy,0.22915601380410816,self_weight
linear,4,0.2222694882263937,finger_porites:bleached,0.18274367593071827,self_weight
linear,4,0.2222694882263937,finger_porites:healthy,0.18712417710537824,self_weight
linear,4,0.2222694882263937,knob_porites:bleached,0.1791293609177075,self_weight
linear,4,0.2222694882263937,knob_porites:healthy,0.1551124974253062,self_weight
linear,4,0.2222694882263937,mounding_:bleached,0.23387882426223724,self_weight
linear,4,0.2222694882263937,mounding_:healthy,0.24340285788076427,self_weight
linear,4,0.2222694882263937,noncoral,0.20496859027007633,self_weight
linear,4,0.2222694882263937,oddball:bleached,0.17998487409366606,self_weight
linear,4,0.2222694882263937,oddball:healthy,0.3313330908886191,self_weight
linear,4,0.2222694882263937,pocillopora_:bleached,0.24774581504802037,self_weight
linear,4,0.2222694882263937,pocillopora_:healthy,0.39339051995708807,self_weight
linear,4,0.2222694882263937,table_acropora:bleached,0.27275640673368745,self_weight
linear,4,0.2222694882263937,table_acropora:healthy,0.2337811099662117,self_weight
linear,5,0.230042294357704,branching_acropora:bleached,0.31051466058540605,self_weight
linear,5,0.230042294357704,branching_acropora:healthy,0.23782555109543324,self_weight
linear,5,0.230042294357704,finger_acropora:bleached,0.13906883912188683,self_weight
linear,5,0.230042294357704,finger_acropora:healthy,0.18880737498472464,self_weight
linear,5,0.230042294357704,finger_porites:bleached,0.34545011644377477,self_weight
linear,5,0.230042294357704,finger_porites:healthy,0.2478616793967258,self_weight
linear,5,0.230042294357704,knob_porites:bleached,0.2659279013491295,self_weight
linear,5,0.230042294357704,knob_porites:healthy,0.3984020000545537,self_weight
linear,5,0.230042294357704,mounding_:bleached,0.10004063861850429,self_weight
linear,5,0.230042294357704,mounding_:healthy,0.1752294746033779,self_weight
linear,5,0.230042294357704,noncoral,0.21582487627793823,self_weight
linear,5,0.230042294357704,oddball:bleached,0.31426906158891105,self_weight
linear,5,0.230042294357704,oddball:healthy,0.24134458206737314,self_weight
linear,5,0.230042294357704,pocillopora_:bleached,0.2949919512918797,self_weight
linear,5,0.230042294357704,pocillopora_:healthy,0.17665331745412022,self_weight
linear,5,0.230042294357704,table_acropora:bleached,0.2711489745069354,self_weight
linear,5,0.230042294357704,table_acropora:healthy,0.1751490612442019,self_weight
adam,1,0.1895381738496759,branching_acropora:bleached,0.13491108683214006,responsibility
adam,1,0.1895381738496759,branching_acropora:healthy,0.22064865268211065,responsibility
adam,1,0.1895381738496759,finger_acropora:bleached,0.27140775491227687,responsibility
adam,1,0.1895381738496759,finger_acropora:healthy,0.162349359051327,responsibility
adam,1,0.1895381738496759,finger_porites:bleached,0.19637364435531726,responsibility
adam,1,0.1895381738496759,finger_porites:healthy,0.19842008971181763,responsibility
adam,1,0.1895381738496759,knob_porites:bleached,0.21030099145586445,responsibility
adam,1,0.1895381738496759,knob_porites:healthy,0.21663499185846483,responsibility
adam,1,0.1895381738496759,mounding_:bleached,0.16811062480323397,responsibility
adam,1,0.1895381738496759,mounding_:healthy,0.16245634209278687,responsibility
adam,1,0.1895381738496759,noncoral,0.19402134113322725,responsibility
adam,1,0.1895381738496759,oddball:bleached,0.20345687812575072,responsibility
adam,1,0.1895381738496759,oddball:healthy,0.18104308508533568,responsibility
adam,1,0.1895381738496759,pocillopora_:bleached,0.17210389430660275,responsibility
adam,1,0.1895381738496759,pocillopora_:healthy,0.1554869170073592,responsibility
adam,1,0.1895381738496759,table_acropora:bleached,0.16692269150296704,responsibility
adam,1,0.1895381738496759,table_acropora:healthy,0.1802417869418031,responsibility
adam,2,0.0009439152721651707,branching_acropora:bleached,0.003191306277668518,responsibility
adam,2,0.0009439152721651707,branching_acropora:healthy,5.177928744413804e-05,responsibility
adam,2,0.0009439152721651707,finger_acropora:bleached,9.495107642334295e-07,responsibility
adam,2,0.0009439152721651707,finger_acropora:healthy,4.594326699393359e-06,responsibility
adam,2,0.0009439152721651707,finger_porites:bleached,6.474494014085174e-08,responsibility
adam,2,0.0009439152721651707,finger_porites:healthy,3.714741296868179e-07,responsibility
adam,2,0.0009439152721651707,knob_porites:bleached,7.696386684205615e-10,responsibility
adam,2,0.0009439152721651707,knob_porites:healthy,0.0030806904894571585,responsibility
adam,2,0.0009439152721651707,mounding_:bleached,1.4436854109557342e-06,responsibility
adam,2,0.0009439152721651707,mounding_:healthy,1.6308983866375846e-06,responsibility
adam,2,0.0009439152721651707,noncoral,0.001149102112991538,responsibility
adam,2,0.0009439152721651707,oddball:bleached,7.244941215411126e-07,responsibility
adam,2,0.0009439152721651707,oddball:healthy,0.010428359552575654,responsibility
adam,2,0.0009439152721651707,pocillopora_:bleached,4.814211462339336e-07,responsibility
adam,2,0.0009439152721651707,pocillopora_:healthy,9.029186850267662e-07,responsibility
adam,2,0.0009439152721651707,table_acropora:bleached,6.024317443887758e-07,responsibility
adam,2,0.0009439152721651707,table_acropora:healthy,1.8478326215945834e-06,responsibility
adam,3,0.22721809155902162,branching_acropora:bleached,0.15722035960194433,responsibility
adam,3,0.22721809155902162,branching_acropora:healthy,0.2605229943383502,responsibility
adam,3,0.22721809155902162,finger_acropora:bleached,0.23515304946081872,responsibility
adam,3,0.22721809155902162,finger_acropora:healthy,0.2059310781855855,responsibility
adam,3,0.22721809155902162,finger_porites:bleached,0.22272108720104228,responsibility
adam,3,0.22721809155902162,finger_porites:healthy,0.20037327096203675,responsibility
adam,3,0.22721809155902162,knob_porites:bleached,0.196970625768716,responsibility
adam,3,0.22721809155902162,knob_porites:healthy,0.1824181963362211,responsibility
adam,3,0.22721809155902162,mounding_:bleached,0.2726229512895351,responsibility
adam,3,0.22721809155902162,mounding_:healthy,0.27910173347865624,responsibility
adam,3,0.22721809155902162,noncoral,0.23394452514173464,responsibility
adam,3,0.22721809155902162,oddball:bleached,0.1646666315189299,responsibility
adam,3,0.22721809155902162,oddball:healthy,0.2629404060053527,responsibility
adam,3,0.22721809155902162,pocillopora_:bleached,0.22644847532701698,responsibility
adam,3,0.22721809155902162,pocillopora_:healthy,0.2526947085358344,responsibility
adam,3,0.22721809155902162,table_acropora:bleached,0.2177524049840726,responsibility
adam,3,0.22721809155902162,table_acropora:healthy,0.26184536014293897,responsibility
adam,4,0.28636839975929984,branching_acropora:bleached,0.36589279217635945,responsibility
adam,4,0.28636839975929984,branching_acropora:healthy,0.2522527895485938,responsibility
adam,4,0.28636839975929984,finger_acropora:bleached,0.2235120499372253,responsibility
adam,4,0.28636839975929984,finger_acropora:healthy,0.31741447664510075,responsibility
adam,4,0.28636839975929984,finger_porites:bleached,0.26220359389773384,responsibility
adam,4,0.28636839975929984,finger_porites:healthy,0.37987528427910366,responsibility
adam,4,0.28636839975929984,knob_porites:bleached,0.28727620608741855,responsibility
adam,4,0.28636839975929984,knob_porites:healthy,0.24217187599979767,responsibility
adam,4,0.28636839975929984,mounding_:bleached,0.2909917559967677,responsibility
adam,4,0.28636839975929984,mounding_:healthy,0.2566172894977213,responsibility
adam,4,0.28636839975929984,noncoral,0.28570305785163636,responsibility
adam,4,0.28636839975929984,oddball:bleached,0.2749681081399832,responsibility
adam,4,0.28636839975929984,oddball:healthy,0.26198643853119163,responsibility
adam,4,0.28636839975929984,pocillopora_:bleached,0.28360570657690776,responsibility
adam,4,0.28636839975929984,pocillopora_:healthy,0.2879905003992772,responsibility
adam,4,0.28636839975929984,table_acropora:bleached,0.3021690706637687,responsibility
adam,4,0.28636839975929984,table_acropora:healthy,0.2823162331200229,responsibility
adam,5,0.29593141955983754,branching_acropora:bleached,0.3387844551118873,responsibility
adam,5,0.29593141955983754,branching_acropora:healthy,0.2665237841435009,responsibility
adam,5,0.29593141955983754,finger_acropora:bleached,0.26992619617891506,responsibility
adam,5,0.29593141955983754,finger_acropora:healthy,0.31430049179128755,responsibility
adam,5,0.29593141955983754,finger_porites:bleached,0.3187016098009667,responsibility
adam,5,0.29593141955983754,finger_porites:healthy,0.22133098357291228,responsibility
adam,5,0.29593141955983754,knob_porites:bleached,0.305452175918362,responsibility
adam,5,0.29593141955983754,knob_porites:healthy,0.35569424531605903,responsibility
adam,5,0.29593141955983754,mounding_:bleached,0.2682732242250522,responsibility
adam,5,0.29593141955983754,mounding_:healthy,0.3018230040324495,responsibility
adam,5,0.29593141955983754,noncoral,0.2851819737604089,responsibility
adam,5,0.29593141955983754,oddball:bleached,0.35690765772121463,responsibility
adam,5,0.29593141955983754,oddball:healthy,0.28360171082554414,responsibility
adam,5,0.29593141955983754,pocillopora_:bleached,0.31784144236832595,responsibility
adam,5,0.29593141955983754,pocillopora_:healthy,0.30382697113884455,responsibility
adam,5,0.29593141955983754,table_acropora:bleached,0.3131552304174471,responsibility
adam,5,0.29593141955983754,table_acropora:healthy,0.27559477196261367,responsibility
reweight,1,0.16892947266331204,branching_acropora:bleached,0.13044361772381027,responsibility
reweight,1,0.16892947266331204,branching_acropora:healthy,0.1936724579696211,responsibility
reweight,1,0.16892947266331204,finger_acropora:bleached,0.3035412675904252,responsibility
reweight,1,0.16892947266331204,finger_acropora:healthy,0.10596007936296717,responsibility
reweight,1,0.16892947266331204,finger_porites:bleached,0.169733077645191,responsibility
reweight,1,0.16892947266331204,finger_porites:healthy,0.16361301775052228,responsibility
reweight,1,0.16892947266331204,knob_porites:bleached,0.1772391741362468,responsibility
reweight,1,0.16892947266331204,knob_porites:healthy,0.1727957612971994,responsibility
reweight,1,0.16892947266331204,mounding_:bleached,0.22600779681341604,responsibility
reweight,1,0.16892947266331204,mounding_:healthy,0.09331023408999245,responsibility
reweight,1,0.16892947266331204,noncoral,0.17815135085282358,responsibility
reweight,1,0.16892947266331204,oddball:bleached,0.17527930269677264,responsibility
reweight,1,0.16892947266331204,oddball:healthy,0.15821002165505513,responsibility
reweight,1,0.16892947266331204,pocillopora_:bleached,0.16099416783799278,responsibility
reweight,1,0.16892947266331204,pocillopora_:healthy,0.14028465752714864,responsibility
reweight,1,0.16892947266331204,table_acropora:bleached,0.13443646662707437,responsibility
reweight,1,0.16892947266331204,table_acropora:healthy,0.1842977451443824,responsibility
reweight,2,0.14345261327032938,branching_acropora:bleached,0.13326313113898156,responsibility
reweight,2,0.14345261327032938,branching_acropora:healthy,0.12808014066899542,responsibility
reweight,2,0.14345261327032938,finger_acropora:bleached,0.1903993872484142,responsibility
reweight,2,0.14345261327032938,finger_acropora:healthy,0.16286991169159695,responsibility
reweight,2,0.14345261327032938,finger_porites:bleached,0.13391615362761358,responsibility
reweight,2,0.14345261327032938,finger_porites:healthy,0.1537540709548417,responsibility
reweight,2,0.14345261327032938,knob_porites:bleached,0.1433408230515533,responsibility
reweight,2,0.14345261327032938,knob_porites:healthy,0.1714177081636829,responsibility
reweight,2,0.14345261327032938,mounding_:bleached,0.20963073883689498,responsibility
reweight,2,0.14345261327032938,mounding_:healthy,0.12627901660704668,responsibility
reweight,2,0.14345261327032938,noncoral,0.12845062354061892,responsibility
reweight,2,0.14345261327032938,oddball:bleached,0.12891024702689138,responsibility
reweight,2,0.14345261327032938,oddball:healthy,0.13544452593632883,responsibility
reweight,2,0.14345261327032938,pocillopora_:bleached,0.12534755399972572,responsibility
reweight,2,0.14345261327032938,pocillopora_:healthy,0.14355188278873354,responsibility
reweight,2,0.14345261327032938,table_acropora:bleached,0.14274931177276962,responsibility
reweight,2,0.14345261327032938,table_acropora:healthy,0.1301838302291869,responsibility
reweight,3,0.18445718730620675,branching_acropora:bleached,0.15272043845064093,responsibility
reweight,3,0.18445718730620675,branching_acropora:healthy,0.22059547391992368,responsibility
reweight,3,0.18445718730620675,finger_acropora:bleached,0.22217095024295538,responsibility
reweight,3,0.18445718730620675,finger_acropora:healthy,0.13716459897591715,responsibility
