image,taxonomy,tp_px,fp_px,fn_px,iou,dice_f1,precision,recall
GPAB2750_jpg.rf.cdad5a44fc68268026febd47efc11e6c.jpg,lcc,177674,19603,119585,0.5607299076569611,0.7185482957762428,0.9006321061248904,0.5977077228948493
GPAB2751_jpg.rf.5c54bc040bd61f476b2936c0f427baaf.jpg,lcc,80864,9967,56518,0.5487923229882795,0.70867128515904,0.8902687408483888,0.588606949964333
GPAB2752_jpg.rf.3d3a23e7d01325a3e36b5203981b2c6b.jpg,lcc,159698,48511,63430,0.5879052713343813,0.7404790222030571,0.767008150464197,0.7157237101573984
GPAB2753_jpg.rf.ecc3e09a60fddd4051f8cc1817f5abe0.jpg,lcc,142975,99090,53073,0.4844344001788994,0.6526854943815865,0.5906471402309297,0.7292856851383335
GPAB2755_jpg.rf.989ddbf0acb4906444222985aa1c08ad.jpg,lcc,238569,41062,126316,0.5876850918962327,0.7403043524132837,0.8531564812198934,0.6538196966167422
GPAB2756_jpg.rf.e3eab669406113c45048b693e012a15e.jpg,lcc,127383,14671,133307,0.4626036366805757,0.6325755318514987,0.8967223731820294,0.4886378457171353
GPAB2863_jpg.rf.96811bd1325e7bbd6bdfefe68952512f.jpg,lcc,194263,18535,271393,0.40121150537701034,0.5726637325448741,0.9128986174682093,0.4171813527582593
GPAB2864_jpg.rf.bba294c9d2767e1fca67088d5f57ed2c.jpg,lcc,106874,21632,278064,0.26286740290724847,0.4163024594697766,0.8316654475277419,0.277639515974001
GPAB2865_jpg.rf.bc51b557fce1c755711f160a6fb06174.jpg,lcc,152100,28327,68942,0.609939487265859,0.7577172832771646,0.8430002161539015,0.6881045231223025
GPAB2866_jpg.rf.419a33f7e1a92b4b4cd4c79fef598c57.jpg,lcc,178731,21912,482692,0.26155692303189504,0.41465734642127167,0.8907911065923058,0.27022193059509575
GPAB2867_jpg.rf.a760f33822f6d3414eebcb42d8a10ffe.jpg,lcc,226614,57992,34058,0.7111377501066954,0.8311870275345787,0.7962376056724032,0.8693453842376626
GPAB2868_jpg.rf.388ca1bea37ef902bb25b8564d68772c.jpg,lcc,496318,21543,147845,0.7455513394801909,0.8542302052281192,0.9584000339859537,0.7704851101351676
GPAB2869_jpg.rf.f5f4b6550e77b27a16ff75349110b44f.jpg,lcc,393254,60919,32973,0.8072610675239046,0.89335302135393,0.8658682924788572,0.9226398139958285
GPAB2870_jpg.rf.bf5e43594708726bc8b61ede51e9e0d6.jpg,lcc,76432,11222,78885,0.4589435507598821,0.6291450420008973,0.8719738973692016,0.49210324690793666
GPAB2871_jpg.rf.504bfd08c70eccfa9fd23ba467a0b88b.jpg,lcc,311377,36231,64752,0.7551096129595499,0.8604700326223477,0.895770523117995,0.8278462974139191
GPAB2907_jpg.rf.bf31d322ee0d726153fd605a1778f741.jpg,lcc,240026,37443,168242,0.5385238416821663,0.7000526440894979,0.8650551953551568,0.5879128415648545
GPAB2908_jpg.rf.88dda92c5d3e1444f5a1b36c77499932.jpg,lcc,417932,23739,81156,0.7993695811425194,0.8884996051060898,0.9462518480950753,0.8373914019170968
GPAB2909_jpg.rf.f8bd8c4e84c1945b4c81d8aa05b48c12.jpg,lcc,335104,19744,100824,0.7354061693498832,0.8475320444727711,0.9443592749571648,0.7687140995760768
GPAB2910_jpg.rf.6a59ae7e8c4bd736c88f0483d80245eb.jpg,lcc,114425,9306,55219,0.6394244202291143,0.78005965061781,0.9247884523684444,0.6745007191530499
GPAB2911_jpg.rf.a892723d63b47464304a3bf61c90205b.jpg,lcc,206672,21324,10322,0.8672110373534521,0.9288837951414639,0.906472043369182,0.9524318644755154
GPAB2912_jpg.rf.bf1be34d721f9328c589ea24f4d294f3.jpg,lcc,956123,46771,11093,0.9429341796295219,0.9706290511697316,0.9533639646861981,0.9885310003143042
GPAB2913_jpg.rf.a426d17e675cf5b48b74ca8af4351b03.jpg,lcc,204344,80183,22442,0.6656828539689675,0.7992912364833282,0.7181884320292977,0.9010432742761899
GPAB2914_jpg.rf.05ad5a37a80ee9922fa2d84461e64b23.jpg,lcc,354497,26175,30855,0.8614185703489686,0.9255506354892274,0.9312400176529926,0.919930349394839
GPAB2915_jpg.rf.a6786972f25a53ecff6281be316a127d.jpg,lcc,434228,105186,121125,0.6573843482368187,0.7932793005269615,0.8049994994568179,0.7818954790916768
GPAB2916_jpg.rf.7f634b0de0ff892d3d6e051ea3b40642.jpg,lcc,217419,85774,12674,0.6883245163312407,0.8153936161834363,0.7170976902501047,0.9449179244914013
GPAB2941_jpg.rf.18f7f408bdbb3d1b44d43910c2e6eba4.jpg,lcc,210708,11997,219523,0.4764691516593251,0.6454170087114204,0.946130531420489,0.48975550343885027
GPAB2942_jpg.rf.1e3195c08fa8efff9464de31cf8e5d3c.jpg,lcc,183205,25004,92364,0.6095191517534841,0.7573928537469666,0.8799091297686459,0.6648244178409037
GPAB2943_jpg.rf.785d4f902aaf6a01200939a608fa2ac6.jpg,lcc,269351,30066,97927,0.6778786139969397,0.8080186592069837,0.8995848599110939,0.7333709070513345
GPAB2944_jpg.rf.4c5671d6eb3325a6fb91a55ecd6b13f6.jpg,lcc,199272,27891,19242,0.8087173555731417,0.8942440377223864,0.8772203219714478,0.9119415689612564
GPAB2946_jpg.rf.4ae04bdc56ebbfb34e63f95e6dec2beb.jpg,lcc,5040,91,605,0.8786610878661087,0.9354120267260579,0.9822646657571623,0.8928255093002657
GPAB2948_jpg.rf.4acdaada60495f5c29e1e122f2d83397.jpg,lcc,17322,5126,11940,0.5037222286844248,0.6699671243473216,0.7716500356379188,0.5919622718884561
GPAB2949_jpg.rf.7fbf6a8deca8c7aae18c53062828ddff.jpg,lcc,0,0,3628,0.0,0.0,,0.0
GPAB2950_jpg.rf.502dd1ed83690517b5d11f810ee8abd0.jpg,lcc,203557,6324,24857,0.8671667987287955,0.9288584172760356,0.969868639848295,0.8911756722442582
GPAB2951_jpg.rf.42d2aa39a63a8cd50185c4c34c3d023a.jpg,lcc,131311,40841,6973,0.7330690858339148,0.8459779149325465,0.7627619777870719,0.9495747881172081
GPAB2952_jpg.rf.d5edd999c3d70eee6ea6ae39f932ee17.jpg,lcc,143093,9500,30922,0.7797346265972809,0.8762369568412286,0.9377428846670555,0.822302675056748
GPAB2953_jpg.rf.e9d7fd4bca495dd962d44280979b6764.jpg,lcc,230459,86695,56305,0.6170931748866676,0.763212886517706,0.7266469916822742,0.8036538756608221
GPAB2985_jpg.rf.1aa4eb008b359be4a92a854650b08c4f.jpg,lcc,223688,30413,130407,0.5817512249420038,0.7355786621418096,0.8803113722496173,0.6317174769482766
GPAB2986_jpg.rf.8384c7104ca8ce5717f2a1895ec3f4e6.jpg,lcc,154901,17936,79794,0.613151196804826,0.7601906107986612,0.8962259238473244,0.6600097999531307
GPAB2987_jpg.rf.8edaf56f6842917821771008f1c445b3.jpg,lcc,262799,19414,34884,0.8287653304824707,0.9063659690703161,0.9312079882925308,0.8828149407255369
