image,taxonomy,tp_px,fp_px,fn_px,iou,dice_f1,precision,recall
GPAB2750_jpg.rf.cdad5a44fc68268026febd47efc11e6c.jpg,lcc,176570,14071,120689,0.5671473998650949,0.7237958598073375,0.9261911131393562,0.5939937899273025
GPAB2751_jpg.rf.5c54bc040bd61f476b2936c0f427baaf.jpg,lcc,75662,5130,61720,0.5309166947344784,0.693593187089204,0.9365036142192297,0.5507417274460992
GPAB2752_jpg.rf.3d3a23e7d01325a3e36b5203981b2c6b.jpg,lcc,37339,64514,185789,0.1298106674268709,0.2297918955262,0.3665969583615603,0.16734340826790003
GPAB2753_jpg.rf.ecc3e09a60fddd4051f8cc1817f5abe0.jpg,lcc,138800,70904,57248,0.5199436602834967,0.6841617539777992,0.6618853240758402,0.7079898800293806
GPAB2755_jpg.rf.989ddbf0acb4906444222985aa1c08ad.jpg,lcc,271615,37556,93270,0.6749188079743366,0.8059122684168675,0.8785267699751917,0.7443852172602327
GPAB2756_jpg.rf.e3eab669406113c45048b693e012a15e.jpg,lcc,144114,11256,116576,0.5299360902532121,0.6927558525212709,0.927553581772543,0.5528175227281446
GPAB2863_jpg.rf.96811bd1325e7bbd6bdfefe68952512f.jpg,lcc,172004,16360,293652,0.35684292637588794,0.5259900308859057,0.9131468858168228,0.36937997148109336
GPAB2864_jpg.rf.bba294c9d2767e1fca67088d5f57ed2c.jpg,lcc,96444,9248,288494,0.2446662235594364,0.3931435093655096,0.9125004730727018,0.2505442434885618
GPAB2865_jpg.rf.bc51b557fce1c755711f160a6fb06174.jpg,lcc,152080,8980,68962,0.6611541504725635,0.796017817232048,0.9442443809760338,0.6880140425801431
GPAB2866_jpg.rf.419a33f7e1a92b4b4cd4c79fef598c57.jpg,lcc,257025,13889,404398,0.3806018551425119,0.5513564301320231,0.9487328081974353,0.3885939859968583
GPAB2867_jpg.rf.a760f33822f6d3414eebcb42d8a10ffe.jpg,lcc,209951,13605,50721,0.7654706738078658,0.8671576199641491,0.9391427651237274,0.8054221397004665
GPAB2868_jpg.rf.388ca1bea37ef902bb25b8564d68772c.jpg,lcc,452054,14303,192109,0.6865259557820753,0.8141303173288189,0.9693303627907376,0.7017695831645097
GPAB2869_jpg.rf.f5f4b6550e77b27a16ff75349110b44f.jpg,lcc,403076,67121,23151,0.8170216561129263,0.8992976537888321,0.8572491955499504,0.9456838726781739
GPAB2870_jpg.rf.bf5e43594708726bc8b61ede51e9e0d6.jpg,lcc,77285,9891,78032,0.46780422255580845,0.6374204616215726,0.8865398733596402,0.4975952407012755
GPAB2871_jpg.rf.504bfd08c70eccfa9fd23ba467a0b88b.jpg,lcc,307912,38911,68217,0.7418851195065536,0.8518186546271398,0.8878073253503949,0.8186340324729016
GPAB2907_jpg.rf.bf31d322ee0d726153fd605a1778f741.jpg,lcc,241917,24634,166351,0.5588262470489856,0.7169833688737276,0.907582413872017,0.5925446030548561
GPAB2908_jpg.rf.88dda92c5d3e1444f5a1b36c77499932.jpg,lcc,399749,18971,99339,0.7716283280475776,0.8710950438435926,0.9546928735192969,0.8009589491232008
